radian measurement is represented by rad
		 rad 		| cos(radian) 		| sin(rad) 		| tan (rad)
	0.0	|	 0.0	|	 0.0	|	 0.0
	0.0	|	 0.262	|	 0.262	|	 0.262
	0.0	|	 0.524	|	 0.524	|	 0.524
	0.0	|	 0.785	|	 0.785	|	 0.785
	0.0	|	 1.047	|	 1.047	|	 1.047
	0.0	|	 1.309	|	 1.309	|	 1.309
	0.0	|	 1.571	|	 1.571	|	 1.571
	0.0	|	 1.833	|	 1.833	|	 1.833
	0.0	|	 2.094	|	 2.094	|	 2.094
	0.0	|	 2.356	|	 2.356	|	 2.356
	0.0	|	 2.618	|	 2.618	|	 2.618
	0.0	|	 2.88	|	 2.88	|	 2.88
	0.0	|	 3.142	|	 3.142	|	 3.142
	0.0	|	 3.403	|	 3.403	|	 3.403
	0.0	|	 3.665	|	 3.665	|	 3.665
	0.0	|	 3.927	|	 3.927	|	 3.927
	0.0	|	 4.189	|	 4.189	|	 4.189
	0.0	|	 4.451	|	 4.451	|	 4.451
	0.0	|	 4.712	|	 4.712	|	 4.712
	0.0	|	 4.974	|	 4.974	|	 4.974
	0.0	|	 5.236	|	 5.236	|	 5.236
	0.0	|	 5.498	|	 5.498	|	 5.498
	0.0	|	 5.76	|	 5.76	|	 5.76
	0.0	|	 6.021	|	 6.021	|	 6.021
	0.0	|	 6.283	|	 6.283	|	 6.283
